,Unnamed: 0,ZIPCODE,lat,temp,humidity,cloudiness,STATE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
52,52,92117,32.83,61.84,14,0.05,CA,26300,1582574,60.17391635,26300,1606307,61.07631179,21350,1063407,49.8082904
53,53,92126,32.9,61.84,14,0.05,CA,34840,2133097,61.22551665,34840,2153853,61.82126866,28990,1423179,49.09206623
54,54,92154,32.58,62.19,14,0.05,CA,38790,1559509,40.20389276,38790,1571789,40.52046919,27960,823406,29.44942775
55,55,92335,34.09,59.14,20,0.01,CA,37770,1151005,30.47405348,37770,1160442,30.72390786,23790,476303,20.02114334
56,56,92336,34.13,59.14,20,0.01,CA,37860,1999143,52.80356577,37860,2018527,53.31555732,29090,1108144,38.09364043
57,57,92345,34.43,57.58,20,0.01,CA,28730,1083972,37.72962061,28730,1095534,38.13205708,18560,551314,29.704418100000005
58,58,92376,34.11,59.0,20,0.01,CA,32800,1069306,32.60079268,32800,1077431,32.8485061,21640,473159,21.86501848
59,59,92503,33.92,60.03,20,0.01,CA,35230,1651721,46.88393415,35230,1669769,47.39622481,25710,911477,35.45223648
60,60,92509,34.01,59.25,20,0.01,CA,30020,1173562,39.09267155,30020,1184765,39.465856099999996,20720,593034,28.62133205
61,61,92553,33.94,59.85,16,0.01,CA,28000,897962,32.07007143,28000,905166,32.32735714,18020,396843,22.02236404
62,62,92562,33.59,59.97,16,0.01,CA,25890,1805455,69.73561221,25890,1836199,70.92309772,20630,1154715,55.9726127
63,63,92592,33.49,60.26,16,0.01,CA,30790,2380041,77.29915557,30790,2412256,78.34543683,25290,1555333,61.49992092
64,64,92627,33.65,60.04,20,0.01,CA,29240,1617730,55.32592339,29240,1647704,56.35102599,21740,1041690,47.91582337
65,65,92630,33.65,60.21,20,0.01,CA,29790,2025784,68.00214837,29790,2055814,69.01020477,23880,1346414,56.38249581
66,66,92646,33.68,59.95,20,0.01,CA,27980,2310636,82.58170122,27980,2349463,83.96937098,23420,1602280,68.41502989
67,67,92647,33.72,59.95,20,0.01,CA,27400,1681816,61.38014599,27400,1705077,62.22908759,21610,1102652,51.02508098
68,68,92677,33.52,60.21,16,0.01,CA,30800,3480508,113.0035065,30800,3555784,115.4475325,25330,2509419,99.06904856
69,69,92683,33.74,59.95,20,0.01,CA,40920,1862276,45.51016618,40920,1887629,46.12974096,28370,1093625,38.54864293
70,70,92703,33.73,59.79,20,0.01,CA,27050,772941,28.57452865,27050,779034,28.79977819,16150,305950,18.94427245
71,71,92704,33.73,59.79,20,0.01,CA,38530,1351741,35.08281858,38530,1365544,35.44105892,25610,658239,25.70242093
72,72,92707,33.71,60.01,20,0.01,CA,27030,951233,35.19174991,27030,959519,35.49829819,18260,452533,24.78274918
73,73,92708,33.71,59.79,20,0.01,CA,26950,1981891,73.53955473,26950,2013156,74.69966605,21650,1332991,61.57002309
74,74,92780,33.75,59.81,20,0.01,CA,26130,1373004,52.54512055,26130,1392790,53.30233448,19830,841486,42.43499748
75,75,92801,33.86,59.95,20,0.01,CA,27090,991045,36.58342562,27090,999985,36.91343669,18630,500192,26.84873859
76,76,92804,33.81,59.95,20,0.01,CA,36230,1437041,39.66439415,36230,1451300,40.05796301,25470,769659,30.21825677
77,77,92805,33.83,59.9,20,0.01,CA,30090,1106935,36.78747092,30090,1116876,37.11784646,20350,546665,26.86314496
78,78,92880,33.93,59.97,20,0.01,CA,26550,1833291,69.05050847,26550,1854644,69.8547646,21550,1101576,51.11721578
79,79,92882,33.82,60.15,20,0.01,CA,28120,1614250,57.40576102,28120,1633123,58.07692034,21610,966867,44.74164739
